#{"t_start": 1658892948.3047712, "env_id": null}
r,l,t
33.29226,45,2.691283
31.990162,45,2.874708
20.596499,45,3.064117
9.285334,45,3.228263
25.783535,45,3.40093
49.486725,45,3.58317
69.015068,45,3.763214
25.063635,45,3.949449
33.531774,45,4.123771
67.485657,45,4.278111
32.288289,45,4.431963
23.36033,45,4.585769
50.55863,45,4.73939
30.878656,45,4.894283
37.347688,45,5.05193
56.356663,45,5.206626
15.258913,45,5.375691
31.322608,45,5.559521
21.749613,45,5.751795
42.715464,45,5.951757
61.613197,45,6.128369
33.122137,45,6.295767
